Gene/proteinID	Brown et al. 2014 ID	Description of gene/protein product	Proposed gene name	condition	nmol/gDCW	SD	mM	logSD
CAETHG_RS02725	CAETHG_0574	molybdenum cofactor synthesis domain containing	mogA	Syngas	5.3	1.0	0.0021814799999999995	0.18703163205981488
CAETHG_RS02745	CAETHG_0578	two component transcriptional regulator, winged	resD	CO				
CAETHG_RS02745	CAETHG_0578	two component transcriptional regulator, winged	resD	High-H2 CO	0.5	0.3	0.0002058	0.5545130293761911
CAETHG_RS02745	CAETHG_0578	two component transcriptional regulator, winged	resD	Syngas				
CAETHG_RS02755	CAETHG_0580	ABC transporter related protein	ABC-2.A_20	CO	1.1	0.1	0.00045275999999999997	0.09072209839127093
CAETHG_RS02755	CAETHG_0580	ABC transporter related protein	ABC-2.A_20	High-H2 CO	0.4	0.2	0.00016463999999999997	0.47238072707743883
CAETHG_RS02755	CAETHG_0580	ABC transporter related protein	ABC-2.A_20	Syngas	0.6	0.1	0.00024695999999999995	0.16552635496534787
CAETHG_RS02795	CAETHG_0588	NADP-dependent oxidoreductase domain containing	K07079	CO				
CAETHG_RS02795	CAETHG_0588	NADP-dependent oxidoreductase domain containing	K07079	High-H2 CO				
CAETHG_RS02795	CAETHG_0588	NADP-dependent oxidoreductase domain containing	K07079	Syngas	0.2	0.1	8.231999999999998e-05	0.47238072707743883
CAETHG_RS02800	CAETHG_0589	Carbamoyl-phosphate synthase large subunit glut	carB2	CO	5.9	0.4	0.00242844	0.06771889877971281
CAETHG_RS02800	CAETHG_0589	Carbamoyl-phosphate synthase large subunit glut	carB2	High-H2 CO	5.3	1.3	0.0021814799999999995	0.2417093008961605
CAETHG_RS02800	CAETHG_0589	Carbamoyl-phosphate synthase large subunit glut	carB2	Syngas	6.3	1.1	0.0025930799999999998	0.1732939590804653
CAETHG_RS02805	CAETHG_0590	Carbamoyl-phosphate synthase small chain	carA2	CO	4.7	0.6	0.00193452	0.12714400007958496
CAETHG_RS02805	CAETHG_0590	Carbamoyl-phosphate synthase small chain	carA2	High-H2 CO	2.5	0.6	0.0010289999999999997	0.23664781874186983
CAETHG_RS02805	CAETHG_0590	Carbamoyl-phosphate synthase small chain	carA2	Syngas	2.6	0.3	0.00107016	0.11500331394903844
CAETHG_RS02810	CAETHG_0591	Ornithine carbamoyltransferase	OTC	CO	6.1	0.6	0.0025107599999999995	0.09812398905133471
CAETHG_RS02810	CAETHG_0591	Ornithine carbamoyltransferase	OTC	High-H2 CO	6.4	0.8	0.0026342399999999995	0.1245158083777528
CAETHG_RS02810	CAETHG_0591	Ornithine carbamoyltransferase	OTC	Syngas	10.0	1.5	0.004115999999999999	0.14916638004195087
CAETHG_RS02815	CAETHG_0592	Ureidoglycolate lyase	RS02815	CO	5.1	1.1	0.0020991599999999997	0.21323910936495663
CAETHG_RS02815	CAETHG_0592	Ureidoglycolate lyase	RS02815	High-H2 CO	1.5	0.5	0.0006173999999999998	0.32459284597450133
CAETHG_RS02815	CAETHG_0592	Ureidoglycolate lyase	RS02815	Syngas	3.0	0.5	0.0012347999999999997	0.16552635496534787
CAETHG_RS02820	CAETHG_0593	Methyltransferase type 11	RS02820	CO	0.7	0.6	0.00028812	0.7421798692902482
CAETHG_RS02820	CAETHG_0593	Methyltransferase type 11	RS02820	High-H2 CO	0.3	0.2	0.00012347999999999998	0.6064031498312963
CAETHG_RS02820	CAETHG_0593	Methyltransferase type 11	RS02820	Syngas	0.7	0.2	0.00028812	0.2801278555258211
CAETHG_RS02945	CAETHG_0619	Prephenate dehydratase	pheA2	CO	1.4	0.2	0.00057624	0.14213622802621248
CAETHG_RS02945	CAETHG_0619	Prephenate dehydratase	pheA2	High-H2 CO	1.1	0.4	0.00045275999999999997	0.3524065553184047
CAETHG_RS02945	CAETHG_0619	Prephenate dehydratase	pheA2	Syngas	1.6	0.8	0.0006585599999999999	0.47238072707743883
CAETHG_RS02960	CAETHG_0622		RS02960	CO	1.4	0.3	0.00057624	0.21188515735626917
CAETHG_RS02960	CAETHG_0622		RS02960	High-H2 CO				
CAETHG_RS02960	CAETHG_0622		RS02960	Syngas				
CAETHG_RS02985	CAETHG_0629	Antibiotic biosynthesis monooxygenase	RS02985	CO	0.7	0.1	0.00028812	0.14213622802621248
CAETHG_RS02985	CAETHG_0629	Antibiotic biosynthesis monooxygenase	RS02985	High-H2 CO				
CAETHG_RS02985	CAETHG_0629	Antibiotic biosynthesis monooxygenase	RS02985	Syngas	0.8	0.6	0.00032927999999999994	0.6680472308365776
CAETHG_RS02990	CAETHG_0630	hypothetical protein	RS02990	CO	2.1	0.2	0.0008643599999999999	0.09502319042946389
CAETHG_RS02990	CAETHG_0630	hypothetical protein	RS02990	High-H2 CO	1.6	0.3	0.0006585599999999999	0.18588270900398385
CAETHG_RS02990	CAETHG_0630	hypothetical protein	RS02990	Syngas	1.3	0.4	0.00053508	0.3007608853478979
CAETHG_RS03060	CAETHG_0645	ATP-binding region ATPase domain protein	RS03060	CO	105.9	24.9	0.04358844	0.23197156612875564
CAETHG_RS03060	CAETHG_0645	ATP-binding region ATPase domain protein	RS03060	High-H2 CO	48.6	9.5	0.02000376	0.1936436829537109
CAETHG_RS03060	CAETHG_0645	ATP-binding region ATPase domain protein	RS03060	Syngas	63.9	5.2	0.026301239999999997	0.08124290814593116
CAETHG_RS03160	CAETHG_0665	Transaldolase	fsaB	CO	1.3	0.2	0.00053508	0.15294730979884993
CAETHG_RS03160	CAETHG_0665	Transaldolase	fsaB	High-H2 CO	0.5	0.3	0.0002058	0.5545130293761911
CAETHG_RS03160	CAETHG_0665	Transaldolase	fsaB	Syngas	1.0	0.2	0.0004116	0.1980422004353651
CAETHG_RS03245	CAETHG_0682	hypothetical protein	ABC.SP.S_2	CO	12.6	1.8	0.0051861599999999996	0.14213622802621248
CAETHG_RS03245	CAETHG_0682	hypothetical protein	ABC.SP.S_2	High-H2 CO	6.0	1.3	0.0024695999999999993	0.21418652810794162
CAETHG_RS03245	CAETHG_0682	hypothetical protein	ABC.SP.S_2	Syngas	9.6	1.3	0.003951359999999999	0.1348019513394994
CAETHG_RS03270	CAETHG_0687	Cellulase	RS03270	CO				
CAETHG_RS03270	CAETHG_0687	Cellulase	RS03270	High-H2 CO				
CAETHG_RS03270	CAETHG_0687	Cellulase	RS03270	Syngas	0.4	0.1	0.00016463999999999997	0.24622067706923975
CAETHG_RS03275	CAETHG_0688		RS03275	CO	0.5	0.1	0.0002058	0.1980422004353651
CAETHG_RS03275	CAETHG_0688		RS03275	High-H2 CO	0.3	0.2	0.00012347999999999998	0.6064031498312963
CAETHG_RS03275	CAETHG_0688		RS03275	Syngas	1.0	0.4	0.0004116	0.38525317015992666
CAETHG_RS03290	CAETHG_0692	4Fe4S-binding SPASM domain containing protein	RS03290	CO	5.9	0.9	0.00242844	0.15166600158957208
CAETHG_RS03290	CAETHG_0692	4Fe4S-binding SPASM domain containing protein	RS03290	High-H2 CO	3.5	1.1	0.0014405999999999998	0.3069142994808906
CAETHG_RS03290	CAETHG_0692	4Fe4S-binding SPASM domain containing protein	RS03290	Syngas	2.8	0.6	0.00115248	0.21188515735626917
CAETHG_RS03385	CAETHG_0716	NADPH-dependent FMN reductase	RS03385	CO				
CAETHG_RS03385	CAETHG_0716	NADPH-dependent FMN reductase	RS03385	High-H2 CO				
CAETHG_RS03385	CAETHG_0716	NADPH-dependent FMN reductase	RS03385	Syngas	0.3	0.0	0.00012347999999999998	0.0
CAETHG_RS03405	CAETHG_0720	transcription elongation factor GreA	greA	CO	2.2	0.3	0.0009055199999999999	0.13573602073900098
CAETHG_RS03405	CAETHG_0720	transcription elongation factor GreA	greA	High-H2 CO	1.0	0.7	0.0004116	0.6314872286573718
CAETHG_RS03405	CAETHG_0720	transcription elongation factor GreA	greA	Syngas	2.1	0.3	0.0008643599999999999	0.14213622802621248
CAETHG_RS03465	CAETHG_0732	Fe(3+)-transporting ATPase	ABC.SN.A	CO				
CAETHG_RS03465	CAETHG_0732	Fe(3+)-transporting ATPase	ABC.SN.A	High-H2 CO	0.4	0.4	0.00016463999999999997	0.8325546111576977
CAETHG_RS03465	CAETHG_0732	Fe(3+)-transporting ATPase	ABC.SN.A	Syngas				
CAETHG_RS03475	CAETHG_0734	hypothetical protein	ABC.SN.S_2	CO	2.9	0.5	0.0011936399999999997	0.17115270546937614
CAETHG_RS03475	CAETHG_0734	hypothetical protein	ABC.SN.S_2	High-H2 CO	2.4	0.4	0.0009878399999999998	0.16552635496534787
CAETHG_RS03475	CAETHG_0734	hypothetical protein	ABC.SN.S_2	Syngas	2.8	1.0	0.00115248	0.3464794976434185
CAETHG_RS03495	CAETHG_0738	Glycerol dehydrogenase	gldA	CO	8.8	11.1	0.0036220799999999997	0.9757349300627728
CAETHG_RS03495	CAETHG_0738	Glycerol dehydrogenase	gldA	High-H2 CO	1.4	0.9	0.00057624	0.588135058432008
CAETHG_RS03495	CAETHG_0738	Glycerol dehydrogenase	gldA	Syngas	9.5	7.9	0.003910199999999999	0.7250031925152703
CAETHG_RS03525	CAETHG_0744	protein of unknown function DUF1016	RS03525	CO	0.7	0.1	0.00028812	0.14213622802621248
CAETHG_RS03525	CAETHG_0744	protein of unknown function DUF1016	RS03525	High-H2 CO	0.5	0.2	0.0002058	0.38525317015992666
CAETHG_RS03525	CAETHG_0744	protein of unknown function DUF1016	RS03525	Syngas	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS03540	CAETHG_0747	BirA bifunctional protein, biotin operon repres	birA	CO	1.1	0.2	0.00045275999999999997	0.18034187452047828
CAETHG_RS03540	CAETHG_0747	BirA bifunctional protein, biotin operon repres	birA	High-H2 CO	0.8	0.4	0.00032927999999999994	0.47238072707743883
CAETHG_RS03540	CAETHG_0747	BirA bifunctional protein, biotin operon repres	birA	Syngas	0.6	0.2	0.00024695999999999995	0.32459284597450133
CAETHG_RS03550	CAETHG_0749	4Fe-4S ferredoxin iron-sulfur binding domain-co	RS03550	CO	4.6	0.7	0.0018933599999999995	0.15130382499593417
CAETHG_RS03550	CAETHG_0749	4Fe-4S ferredoxin iron-sulfur binding domain-co	RS03550	High-H2 CO	2.3	1.2	0.0009466799999999998	0.4906698460130074
CAETHG_RS03550	CAETHG_0749	4Fe-4S ferredoxin iron-sulfur binding domain-co	RS03550	Syngas	3.7	0.5	0.0015229199999999997	0.1345242209864838
CAETHG_RS03555	CAETHG_0750	methyl-accepting chemotaxis sensory transducer	RS03555	CO	4.8	0.9	0.0019756799999999996	0.18588270900398385
CAETHG_RS03555	CAETHG_0750	methyl-accepting chemotaxis sensory transducer	RS03555	High-H2 CO	2.8	0.5	0.00115248	0.17717194108572587
CAETHG_RS03555	CAETHG_0750	methyl-accepting chemotaxis sensory transducer	RS03555	Syngas	6.1	0.8	0.0025107599999999995	0.13058881087186097
CAETHG_RS03560	CAETHG_0751	protein of unknown function DUF815	K06923	CO	5.9	1.9	0.00242844	0.31412331259723947
CAETHG_RS03560	CAETHG_0751	protein of unknown function DUF815	K06923	High-H2 CO	4.0	1.5	0.0016464	0.36273455554815737
CAETHG_RS03560	CAETHG_0751	protein of unknown function DUF815	K06923	Syngas	6.5	1.0	0.0026753999999999997	0.15294730979884993
CAETHG_RS03565	CAETHG_0752	Conserved hypothetical protein CHP00268	larE	CO	3.6	0.8	0.00148176	0.21954977070786863
CAETHG_RS03565	CAETHG_0752	Conserved hypothetical protein CHP00268	larE	High-H2 CO	2.7	1.1	0.0011113199999999998	0.39187066421933664
CAETHG_RS03565	CAETHG_0752	Conserved hypothetical protein CHP00268	larE	Syngas	4.8	0.7	0.0019756799999999996	0.1450667670818533
CAETHG_RS03575	CAETHG_0754	polysaccharide deacetylase	pgdA	CO				
CAETHG_RS03575	CAETHG_0754	polysaccharide deacetylase	pgdA	High-H2 CO				
CAETHG_RS03575	CAETHG_0754	polysaccharide deacetylase	pgdA	Syngas	0.7	0.2	0.00028812	0.2801278555258211
CAETHG_RS03580	CAETHG_0755	Glutaminyl-tRNA synthetase	QARS	CO	9.1	1.7	0.0037455599999999993	0.185213386552175
CAETHG_RS03580	CAETHG_0755	Glutaminyl-tRNA synthetase	QARS	High-H2 CO	7.1	1.2	0.0029223599999999993	0.16782540505238408
CAETHG_RS03580	CAETHG_0755	Glutaminyl-tRNA synthetase	QARS	Syngas	6.9	1.0	0.00284004	0.14417505973966738
CAETHG_RS03600	CAETHG_0759	DegT/DnrJ/EryC1/StrS aminotransferase	RS03600	CO	7.6	1.8	0.0031281599999999996	0.23361799928246224
CAETHG_RS03600	CAETHG_0759	DegT/DnrJ/EryC1/StrS aminotransferase	RS03600	High-H2 CO	3.1	2.2	0.0012759599999999998	0.6386628152446641
CAETHG_RS03600	CAETHG_0759	DegT/DnrJ/EryC1/StrS aminotransferase	RS03600	Syngas	3.3	1.3	0.00135828	0.3798201078503156
CAETHG_RS03605	CAETHG_0760	Glutamine--scyllo-inositol transaminase	RS03605	CO	2.1	0.5	0.0008643599999999999	0.23482069474132783
CAETHG_RS03605	CAETHG_0760	Glutamine--scyllo-inositol transaminase	RS03605	High-H2 CO	1.1	1.0	0.00045275999999999997	0.7761263788333777
CAETHG_RS03605	CAETHG_0760	Glutamine--scyllo-inositol transaminase	RS03605	Syngas	1.8	0.3	0.00074088	0.16552635496534787
CAETHG_RS03655	CAETHG_0773	protein of unknown function DUF1847	RS03655	CO	0.4	0.1	0.00016463999999999997	0.24622067706923975
CAETHG_RS03655	CAETHG_0773	protein of unknown function DUF1847	RS03655	High-H2 CO	0.2	0.1	8.231999999999998e-05	0.47238072707743883
CAETHG_RS03655	CAETHG_0773	protein of unknown function DUF1847	RS03655	Syngas	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS03690	CAETHG_0780	protein of unknown function DUF362	K07138	CO	3.0	0.5	0.0012347999999999997	0.16552635496534787
CAETHG_RS03690	CAETHG_0780	protein of unknown function DUF362	K07138	High-H2 CO	1.6	0.3	0.0006585599999999999	0.18588270900398385
CAETHG_RS03690	CAETHG_0780	protein of unknown function DUF362	K07138	Syngas	1.0	0.3	0.0004116	0.293560379208524
CAETHG_RS03720	CAETHG_0786	Radical SAM domain protein	RS03720	CO	8.6	0.4	0.003539759999999999	0.04648650232309396
CAETHG_RS03720	CAETHG_0786	Radical SAM domain protein	RS03720	High-H2 CO	4.2	1.1	0.0017287199999999998	0.25757302520911324
CAETHG_RS03720	CAETHG_0786	Radical SAM domain protein	RS03720	Syngas	4.6	0.8	0.0018933599999999995	0.17261912641693203
CAETHG_RS03840	CAETHG_0812	Hydroxylamine reductase	hcp	CO	1.6	0.6	0.0006585599999999999	0.36273455554815737
CAETHG_RS03840	CAETHG_0812	Hydroxylamine reductase	hcp	High-H2 CO	1.3	0.9	0.00053508	0.6257493131751508
CAETHG_RS03840	CAETHG_0812	Hydroxylamine reductase	hcp	Syngas	0.2	0.1	8.231999999999998e-05	0.47238072707743883
CAETHG_RS03865	CAETHG_0817	Glucarate dehydratase	gudD	CO	1.9	1.2	0.0007820399999999999	0.5793793842919153
CAETHG_RS03865	CAETHG_0817	Glucarate dehydratase	gudD	High-H2 CO				
CAETHG_RS03865	CAETHG_0817	Glucarate dehydratase	gudD	Syngas				
CAETHG_RS03880	CAETHG_0820	Spermidine synthase	speE	CO	3.3	0.7	0.00135828	0.20979154356960103
CAETHG_RS03880	CAETHG_0820	Spermidine synthase	speE	High-H2 CO	1.3	0.9	0.00053508	0.6257493131751508
CAETHG_RS03880	CAETHG_0820	Spermidine synthase	speE	Syngas	1.8	0.2	0.00074088	0.11077044999373434
CAETHG_RS03885	CAETHG_0821	Methylglyoxal reductase (NADPH-dependent)	RS03885	CO	2.1	1.3	0.0008643599999999999	0.5695735964039335
CAETHG_RS03885	CAETHG_0821	Methylglyoxal reductase (NADPH-dependent)	RS03885	High-H2 CO				
CAETHG_RS03885	CAETHG_0821	Methylglyoxal reductase (NADPH-dependent)	RS03885	Syngas	0.5	0.1	0.0002058	0.1980422004353651
CAETHG_RS03895	CAETHG_0823	Dihydrodipicolinate synthase	yjhH	CO	4.3	4.6	0.0017698799999999995	0.8734190876559909
CAETHG_RS03895	CAETHG_0823	Dihydrodipicolinate synthase	yjhH	High-H2 CO				
CAETHG_RS03895	CAETHG_0823	Dihydrodipicolinate synthase	yjhH	Syngas				
CAETHG_RS03915	CAETHG_0825	Adenosine deaminase	add	CO	3.4	1.3	0.0013994399999999996	0.3693869098763514
CAETHG_RS03915	CAETHG_0825	Adenosine deaminase	add	High-H2 CO	1.2	0.5	0.0004939199999999999	0.40010675493807013
CAETHG_RS03915	CAETHG_0825	Adenosine deaminase	add	Syngas	3.1	0.2	0.0012759599999999998	0.06444914560095731
CAETHG_RS03940	CAETHG_0830	Protein of unknown function DUF4317	RS03940	CO	2.4	0.9	0.0009878399999999998	0.36273455554815737
CAETHG_RS03940	CAETHG_0830	Protein of unknown function DUF4317	RS03940	High-H2 CO	1.1	0.3	0.00045275999999999997	0.2678505270833741
CAETHG_RS03940	CAETHG_0830	Protein of unknown function DUF4317	RS03940	Syngas	1.4	0.5	0.00057624	0.3464794976434185
CAETHG_RS03945	CAETHG_0831	HesB-related (seleno)protein	RS03945	CO	2.6	0.3	0.00107016	0.11500331394903844
CAETHG_RS03945	CAETHG_0831	HesB-related (seleno)protein	RS03945	High-H2 CO	2.4	1.9	0.0009878399999999998	0.6975497269317299
CAETHG_RS03945	CAETHG_0831	HesB-related (seleno)protein	RS03945	Syngas	8.5	0.7	0.0034986	0.08221382223386409
CAETHG_RS03950	CAETHG_0832	tRNA sulfurtransferase	thiI	CO	1.5	0.6	0.0006173999999999998	0.38525317015992644
CAETHG_RS03950	CAETHG_0832	tRNA sulfurtransferase	thiI	High-H2 CO	0.5	0.1	0.0002058	0.1980422004353651
CAETHG_RS03950	CAETHG_0832	tRNA sulfurtransferase	thiI	Syngas	1.2	0.6	0.0004939199999999999	0.47238072707743883
CAETHG_RS03955	CAETHG_0833	Cysteine desulfurase	iscS3	CO	0.9	0.4	0.00037044	0.4245725189304461
CAETHG_RS03955	CAETHG_0833	Cysteine desulfurase	iscS3	High-H2 CO				
CAETHG_RS03955	CAETHG_0833	Cysteine desulfurase	iscS3	Syngas	1.1	0.3	0.00045275999999999997	0.2678505270833741
CAETHG_RS03985	CAETHG_0840	Cyclopropane-fatty-acyl-phospholipid synthase	cfa	CO	4.6	4.0	0.0018933599999999995	0.750413424024077
CAETHG_RS03985	CAETHG_0840	Cyclopropane-fatty-acyl-phospholipid synthase	cfa	High-H2 CO	5.0	1.7	0.0020579999999999995	0.33074518404838
CAETHG_RS03985	CAETHG_0840	Cyclopropane-fatty-acyl-phospholipid synthase	cfa	Syngas	2.5	1.7	0.0010289999999999997	0.616505410939554
CAETHG_RS03990	CAETHG_0841	putative signal transduction protein with CBS d	tlyC	CO	1.2	0.9	0.0004939199999999999	0.6680472308365776
CAETHG_RS03990	CAETHG_0841	putative signal transduction protein with CBS d	tlyC	High-H2 CO	1.1	0.3	0.00045275999999999997	0.2678505270833741
CAETHG_RS03990	CAETHG_0841	putative signal transduction protein with CBS d	tlyC	Syngas	0.9	0.2	0.00037044	0.21954977070786863
CAETHG_RS04030	CAETHG_0847	diguanylate cyclase/phosphodiesterase	RS04030	CO				
CAETHG_RS04030	CAETHG_0847	diguanylate cyclase/phosphodiesterase	RS04030	High-H2 CO				
CAETHG_RS04030	CAETHG_0847	diguanylate cyclase/phosphodiesterase	RS04030	Syngas	0.1	0.0	4.115999999999999e-05	0.0
CAETHG_RS04035	CAETHG_0848	RNA binding S1 domain protein	rpsA	CO	1.4	0.1	0.00057624	0.07133771448169074
CAETHG_RS04035	CAETHG_0848	RNA binding S1 domain protein	rpsA	High-H2 CO	1.2	0.5	0.0004939199999999999	0.40010675493807013
CAETHG_RS04035	CAETHG_0848	RNA binding S1 domain protein	rpsA	Syngas	1.4	0.2	0.00057624	0.14213622802621248
CAETHG_RS04040	CAETHG_0849	peptidase S58 DmpA	RS04040	CO	0.4	0.0	0.00016463999999999997	0.0
CAETHG_RS04040	CAETHG_0849	peptidase S58 DmpA	RS04040	High-H2 CO				
CAETHG_RS04040	CAETHG_0849	peptidase S58 DmpA	RS04040	Syngas				
CAETHG_RS04110	CAETHG_0864	hypothetical protein	RS04110	CO	0.7	0.2	0.00028812	0.2801278555258211
CAETHG_RS04110	CAETHG_0864	hypothetical protein	RS04110	High-H2 CO				
CAETHG_RS04110	CAETHG_0864	hypothetical protein	RS04110	Syngas	0.4	0.0	0.00016463999999999997	0.0
CAETHG_RS04220	CAETHG_0887	Rubrerythrin	fprB	CO	50.3	5.5	0.02070348	0.10901920447068845
CAETHG_RS04220	CAETHG_0887	Rubrerythrin	fprB	High-H2 CO	47.5	4.9	0.019550999999999995	0.1028850254094753
CAETHG_RS04220	CAETHG_0887	Rubrerythrin	fprB	Syngas	78.7	7.9	0.03239292	0.10012969542253713
CAETHG_RS04245	CAETHG_0891	ABC-type transporter, periplasmic subunit famil	yxeM	CO				
CAETHG_RS04245	CAETHG_0891	ABC-type transporter, periplasmic subunit famil	yxeM	High-H2 CO	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS04245	CAETHG_0891	ABC-type transporter, periplasmic subunit famil	yxeM	Syngas				
CAETHG_RS04265	CAETHG_0893	CBS domain containing membrane protein	RS04265	CO	1.8	0.3	0.00074088	0.16552635496534787
CAETHG_RS04265	CAETHG_0893	CBS domain containing membrane protein	RS04265	High-H2 CO	1.6	0.8	0.0006585599999999999	0.47238072707743883
CAETHG_RS04265	CAETHG_0893	CBS domain containing membrane protein	RS04265	Syngas	2.6	0.4	0.00107016	0.15294730979884993
CAETHG_RS04285	CAETHG_0897	Fructose-1,6-bisphosphatase class 3	fbp3	CO	6.6	0.3	0.00271656	0.04543109310649951
CAETHG_RS04285	CAETHG_0897	Fructose-1,6-bisphosphatase class 3	fbp3	High-H2 CO	8.1	1.1	0.0033339599999999995	0.1351825194757975
CAETHG_RS04285	CAETHG_0897	Fructose-1,6-bisphosphatase class 3	fbp3	Syngas	2.0	0.4	0.0008232	0.1980422004353651
CAETHG_RS04290	CAETHG_0898	phosphoglucomutase/phosphomannomutase alpha/bet	RS04290	CO	2.0	0.3	0.0008232	0.14916638004195087
CAETHG_RS04290	CAETHG_0898	phosphoglucomutase/phosphomannomutase alpha/bet	RS04290	High-H2 CO	1.9	0.6	0.0007820399999999999	0.3083152969839632
CAETHG_RS04290	CAETHG_0898	phosphoglucomutase/phosphomannomutase alpha/bet	RS04290	Syngas	1.6	0.3	0.0006585599999999999	0.18588270900398385
CAETHG_RS04315	CAETHG_0903	Shikimate kinase	aroK	CO	1.7	0.4	0.0006997199999999998	0.23213161890397316
CAETHG_RS04315	CAETHG_0903	Shikimate kinase	aroK	High-H2 CO				
CAETHG_RS04315	CAETHG_0903	Shikimate kinase	aroK	Syngas	4.0	1.7	0.0016464	0.4074849190750953
CAETHG_RS04320	CAETHG_0904	Shikimate dehydrogenase	aroE	CO	5.3	0.5	0.0021814799999999995	0.09413072371113525
CAETHG_RS04320	CAETHG_0904	Shikimate dehydrogenase	aroE	High-H2 CO	2.8	0.6	0.00115248	0.21188515735626917
CAETHG_RS04320	CAETHG_0904	Shikimate dehydrogenase	aroE	Syngas	12.5	3.2	0.005144999999999999	0.2519483259326205
CAETHG_RS04325	CAETHG_0905	Prephenate dehydratase	pheA	CO	2.9	0.2	0.0011936399999999997	0.06888372365244008
CAETHG_RS04325	CAETHG_0905	Prephenate dehydratase	pheA	High-H2 CO	0.9	0.5	0.00037044	0.5186424003488612
CAETHG_RS04325	CAETHG_0905	Prephenate dehydratase	pheA	Syngas	5.8	1.0	0.0023872799999999994	0.17115270546937614
CAETHG_RS04330	CAETHG_0906	Chorismate synthase	aroC	CO	4.0	0.1	0.0016464	0.024996095071874287
CAETHG_RS04330	CAETHG_0906	Chorismate synthase	aroC	High-H2 CO	1.5	0.4	0.0006173999999999998	0.2621002313738675
CAETHG_RS04330	CAETHG_0906	Chorismate synthase	aroC	Syngas	4.5	1.0	0.0018521999999999998	0.21954977070786863
CAETHG_RS04335	CAETHG_0907	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	CO	2.9	0.4	0.0011936399999999997	0.13728167621657203
CAETHG_RS04335	CAETHG_0907	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	High-H2 CO	1.0	0.5	0.0004116	0.47238072707743883
CAETHG_RS04335	CAETHG_0907	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	Syngas	3.3	0.8	0.00135828	0.23897154084973932
CAETHG_RS04340	CAETHG_0908	3-dehydroquinate synthase	aroB	CO	17.2	2.1	0.007079519999999998	0.1216416594809455
CAETHG_RS04340	CAETHG_0908	3-dehydroquinate synthase	aroB	High-H2 CO	6.5	1.2	0.0026753999999999997	0.1830707217447991
CAETHG_RS04340	CAETHG_0908	3-dehydroquinate synthase	aroB	Syngas	31.1	4.9	0.01280076	0.1565914087794794
CAETHG_RS04345	CAETHG_0909	Prephenate dehydrogenase	tyrA2	CO	1.2	0.5	0.0004939199999999999	0.40010675493807013
CAETHG_RS04345	CAETHG_0909	Prephenate dehydrogenase	tyrA2	High-H2 CO				
CAETHG_RS04345	CAETHG_0909	Prephenate dehydrogenase	tyrA2	Syngas	1.5	0.3	0.0006173999999999998	0.1980422004353651
CAETHG_RS04350	CAETHG_0910	phospho-2-dehydro-3-deoxyheptonate aldolase	AROA2	CO	26.0	2.9	0.010701599999999999	0.11119387216357034
CAETHG_RS04350	CAETHG_0910	phospho-2-dehydro-3-deoxyheptonate aldolase	AROA2	High-H2 CO	9.1	1.8	0.0037455599999999993	0.19590736487416643
CAETHG_RS04350	CAETHG_0910	phospho-2-dehydro-3-deoxyheptonate aldolase	AROA2	Syngas	49.0	7.7	0.020168399999999996	0.15618550488437613
CAETHG_RS04355	CAETHG_0912	CHAP domain containing protein	RS04355	CO				
CAETHG_RS04355	CAETHG_0912	CHAP domain containing protein	RS04355	High-H2 CO	0.7	0.4	0.00028812	0.5315702886589981
CAETHG_RS04355	CAETHG_0912	CHAP domain containing protein	RS04355	Syngas	1.3	0.7	0.00053508	0.5045754134577065
CAETHG_RS04375	CAETHG_0917	ACT domain-containing protein	K07166	CO	3.7	1.2	0.0015229199999999997	0.31624972490091896
CAETHG_RS04375	CAETHG_0917	ACT domain-containing protein	K07166	High-H2 CO				
CAETHG_RS04375	CAETHG_0917	ACT domain-containing protein	K07166	Syngas	3.9	1.1	0.0016052399999999997	0.27667128104138455
CAETHG_RS04380	CAETHG_0918	UPF0210 protein	K09157	CO	13.0	0.9	0.005350799999999999	0.06914802987169075
CAETHG_RS04380	CAETHG_0918	UPF0210 protein	K09157	High-H2 CO	5.5	1.5	0.0022637999999999994	0.2678505270833741
CAETHG_RS04380	CAETHG_0918	UPF0210 protein	K09157	Syngas	9.4	2.2	0.00386904	0.23092930333682002
CAETHG_RS04385	CAETHG_0919	putative metal dependent phosphohydrolase	RS04385	CO	3.4	0.5	0.0013994399999999996	0.14627291945209672
CAETHG_RS04385	CAETHG_0919	putative metal dependent phosphohydrolase	RS04385	High-H2 CO	1.9	0.2	0.0007820399999999999	0.10497330731957757
CAETHG_RS04385	CAETHG_0919	putative metal dependent phosphohydrolase	RS04385	Syngas	6.7	1.3	0.0027577199999999995	0.19223998455668428
CAETHG_RS04390	CAETHG_0920	methyl-accepting chemotaxis sensory transducer	RS04390	CO	3.8	2.4	0.0015640799999999998	0.5793793842919153
CAETHG_RS04390	CAETHG_0920	methyl-accepting chemotaxis sensory transducer	RS04390	High-H2 CO	3.1	1.4	0.0012759599999999998	0.43082632025374695
CAETHG_RS04390	CAETHG_0920	methyl-accepting chemotaxis sensory transducer	RS04390	Syngas	2.8	2.2	0.00115248	0.6933881414090981
